sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
6842;SDS011;3460;52.028;8.916;2020-08-23T00:01:35;7.43;;;2.03;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:04:06;3.47;;;1.50;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:06:38;3.93;;;1.40;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:09:11;3.57;;;1.50;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:11:42;4.90;;;1.87;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:14:13;4.20;;;1.43;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:16:43;3.50;;;1.50;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:19:14;2.77;;;1.40;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:21:52;4.43;;;1.37;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:24:24;3.80;;;1.50;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:26:55;5.93;;;1.70;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:29:21;3.10;;;1.30;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:31:49;4.33;;;1.50;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:34:19;4.10;;;1.63;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:36:50;4.07;;;1.47;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:39:26;3.70;;;1.30;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:42:01;4.70;;;1.67;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:44:29;6.07;;;1.40;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:46:55;3.87;;;1.37;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:49:23;3.83;;;1.40;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:51:53;2.90;;;1.40;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:54:26;3.27;;;1.50;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:56:57;2.37;;;1.40;;
6842;SDS011;3460;52.028;8.916;2020-08-23T00:59:29;4.10;;;1.43;;
6842;SDS011;3460;52.028;8.916;2020-08-23T01:02:08;3.00;;;1.40;;
